Gene	Triplication-1.RNA.counts.txt	Triplication-2.RNA.counts.txt	Triplication-3.RNA.counts.txt	Isogenic-1.RNA.counts.txt	Isogenic-2.RNA.counts.txt	Isogenic-3.RNA.counts.txt
5S_rRNA	0.767639124	0	1.926353187	0	0.947401304	0
5_8S_rRNA	0	0	0	0	0	0
7SK	0	0	0	0	0	0
A1BG	7.676391239	15.9487516	11.55811912	10.81696441	1.894802607	4.306911257
A1BG-AS1	31.47320408	15.9487516	23.11623824	29.2058039	19.89542738	25.84146754
A1CF	0	0.886041756	0.963176593	0	0	0
A2M	1329.550963	1244.888667	1520.855841	841.5598309	3512.016632	638.8585031
A2M-AS1	53.73473867	50.50438008	47.19565307	68.14687576	47.37006518	61.73239469
A2ML1	11.51458686	31.89750321	4.815882966	2.163392881	5.684407821	2.871274171
A2ML1-AS1	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0
A2MP1	0	0.886041756	0	0	0	0
A3GALT2	0	1.772083512	0	0	0	0
A4GALT	204.9596461	142.6527227	217.6779101	218.502681	225.4815103	205.2961033
A4GNT	0	1.772083512	0.963176593	0	0.947401304	2.871274171
AA06	0	0	0	0	0	0
AAAS	875.1086013	991.4807247	934.2812955	1096.840191	943.6116984	1056.628895
AACS	859.7558188	738.0727826	743.57233	829.66117	862.1351863	898.7088157
AACSP1	1.535278248	4.430208779	10.59494253	4.326785763	0.947401304	8.613822514
AADAC	0	2.658125267	0	0	0	0
AADACL2	7.676391239	16.83479336	0	0	0.947401304	0
AADACL2-AS1	0	0	1.926353187	2.163392881	0	0
AADACL3	0	0	0	2.163392881	2.842203911	0
AADACL4	1.535278248	0	0	0	0	0
AADACP1	0.767639124	0	0	0	0	0
AADAT	214.9389547	278.2171113	298.5847439	318.0187536	261.4827598	284.256143
AAGAB	735.3982807	800.9817472	748.388213	587.3611673	663.1809125	594.3537535
AAK1	1496.128653	1501.840776	1494.850073	1035.183494	1257.20153	1207.370789
AAMDC	74.46099502	73.54146573	95.35448273	111.4147334	81.47651211	91.88077349
AAMP	1822.37528	1686.137461	1804.992936	1664.730822	1896.69741	1582.072068
AANAT	0.767639124	71.76938222	76.09095087	1.081696441	4.737006518	1.435637086
AAR2	482.8450089	497.069425	568.27419	603.5866139	593.073216	503.9086171
AARD	39.91723444	46.0741713	51.04835944	21.63392881	25.5798352	20.0989192
AARS1	6643.916618	5831.040795	6294.359037	7444.234905	8805.147715	10073.86543
AARS1P1	0	0	0	0	0	0
AARS2	475.1686177	494.4112997	450.7666456	427.2700941	478.4376583	489.5522462
AARSD1	20.72625635	21.26500214	26.00576802	23.7973217	20.84282868	25.84146754
AARSD1P1	15.35278248	13.29062634	16.37400209	7.571875085	6.631809125	5.742548343
AASDH	231.8270154	222.3964807	197.4512016	221.7477703	212.217892	228.2662966
AASDHPPT	1173.72022	1066.794274	1243.460982	704.1843829	720.0249907	620.195221
AASS	514.318213	563.5225567	527.8207731	689.0406327	513.4915065	815.4418647
AATBC	23.02917372	21.26500214	13.48447231	10.81696441	27.4746378	28.71274171
AATF	971.8311309	675.1638179	691.560794	777.7397409	1007.087586	814.0062276
AATK	1202.122868	1135.019489	962.2134167	620.893757	535.2817365	505.3442542
ABALON	0	0	0	0	0.947401304	0
ABAT	940.3579268	2065.363333	2434.910428	413.2080403	348.6436797	338.8103522
